"job_location","average_salary","min_salary","median_salary","max_salary","number_of_job_postings","number_of_senior_positions"
"Abell, MD","166075.0","166075.0",166075,"166075.0","1","1"
"Aberdeen Proving Ground, MD","130000.0","100000.0",130000,"160000.0","2","0"
"Aberdeen, MD","148000.0","112000.0",160000,"160000.0","4","0"
"Accokeek, MD","145000.0","145000.0",145000,"145000.0","1","0"
"Adelphi, OH","115000.0","115000.0",115000,"115000.0","1","0"
"Adger, AL","112500.5","112500.5",112500.5,"112500.5","1","0"
"Agoura Hills, CA","153333.3","152500.0",152500,"155000.0","3","3"
"Ahmedabad, Gujarat, India","87307.5","87307.5",87307.5,"87307.5","1","0"
"Alabama","118807.5","118807.5",118807.5,"118807.5","1","0"
"Alameda, CA","159928.6","90000.0",156000,"204000.0","7","3"
"Albany, NY","137093.8","95000.0",139281.25,"172500.0","6","2"
"Albany, OR","97000.0","97000.0",97000,"97000.0","2","0"
"Albuquerque, NM","113410.2","69107.0",115000,"152700.0","13","0"
"Aldie, VA","99000.0","99000.0",99000,"99000.0","1","0"
"Alexandria, LA","134497.5","133850.5",134497.5,"135144.5","2","1"
"Alexandria, VA","123252.8","90000.0",118125,"160000.0","12","1"
"Aliso Viejo, CA","143000.0","125000.0",146500,"157500.0","3","1"
"Allen, TX","65000.0","65000.0",65000,"65000.0","1","0"
"Almaty, Kazakhstan","157500.0","157500.0",157500,"157500.0","1","1"
"Alpharetta, GA","135282.0","90000.0",125000,"216500.0","17","5"
"Altamonte Springs, FL","125000.0","125000.0",125000,"125000.0","2","1"
"Altoona, PA","100000.0","100000.0",100000,"100000.0","1","0"
"Amarillo, TX","115000.0","115000.0",115000,"115000.0","2","2"
"Amman, Jordan","66346.0","62692.0",66346,"70000.0","2","0"
"Amsterdam, Netherlands","134811.8","89100.0",147500,"157500.0","11","1"
"Ankara, Türkiye","88128.0","88128.0",88128,"88128.0","2","1"
"Ann Arbor, MI","110228.5","65500.0",99750,"180000.0","8","0"
"Annandale, VA","84800.0","84800.0",84800,"84800.0","1","0"
"Annapolis Junction, MD","119239.7","87705.0",115000,"191000.0","20","0"
"Annapolis, MD","142964.8","95005.0",146934,"195500.0","6","0"
"Antwerp, Belgium","89100.0","89100.0",89100,"89100.0","1","1"
"Anywhere","149444.0","30750.0",145000,"550000.0","1288","335"
"Apple Valley, CA","97500.0","97500.0",97500,"97500.0","1","0"
"Arizona","132356.9","70234.0",130096.75,"199000.0","4","0"
"Arizona City, AZ","115000.0","115000.0",115000,"115000.0","1","0"
"Arlington, TX","113953.1","86000.0",119550,"162500.0","12","2"
"Arlington, VA","127458.7","78592.0",115000,"210389.5","92","19"
"Armonk, NY","170945.4","155979.234375",163963.078125,"192894.03125","3","2"
"Ashburn, VA","142360.8","115000.0",151110.75,"152221.5","4","1"
"Astana, Kazakhstan","105650.0","105650.0",105650,"105650.0","1","1"
"Athens, Greece","94790.3","51068.0",89399,"171121.0","12","4"
"Atlanta, GA","139304.5","55000.0",125000,"375000.0","157","34"
"Atlanta, GA   (+52 others)","128464.0","128464.0",128464,"128464.0","1","0"
"Atlantic City, NJ","108281.0","108281.0",108281,"108281.0","1","0"
"Auckland, New Zealand","144473.2","109500.0",157500,"166419.5","3","1"
"Augusta, GA","140000.0","112500.0",150000,"157500.0","3","0"
"Aurora, CO","120248.8","99000.0",119775,"144435.234375","12","0"
"Austin, TX","147789.2","47858.0",144000,"375000.0","96","21"
"Austin, TX  (+1 other)","119290.0","119290.0",119290,"119290.0","1","0"
"Australia","145000.0","132500.0",145000,"157500.0","2","0"
"Aveiro, Portugal","121000.0","109500.0",121000,"132500.0","2","0"
"Avenel, NJ","80000.0","80000.0",80000,"80000.0","1","0"
"Baldwin Park, CA","90000.0","90000.0",90000,"90000.0","1","0"
"Ballerup, Denmark","148989.8","131560.0",148989.75,"166419.5","2","0"
"Ballwin, MO","100000.0","100000.0",100000,"100000.0","1","0"
"Balmorhea, TX","50000.0","50000.0",50000,"50000.0","1","0"
"Baltimore, MD","131778.2","75000.0",125000,"198110.0","11","4"
"Bangkok, Thailand","141675.0","79200.0",157500,"172500.0","4","2"
"Barcelona, Spain","109754.6","69962.5",100085,"157500.0","8","2"
"Barksdale AFB, LA","140882.5","140882.5",140882.5,"140882.5","1","0"
"Basel, Switzerland","133520.9","89100.0",139282,"166419.5","4","0"
"Baton Rouge, LA","132625.0","96500.0",136250,"161500.0","4","2"
"Battle Creek, MI","144234.0","144234.0",144234,"144234.0","1","0"
"Bayan Lepas, Penang, Malaysia","157500.0","157500.0",157500,"157500.0","1","0"
"Belcamp, MD","145000.0","145000.0",145000,"145000.0","1","0"
"Belfast, UK","157500.0","157500.0",157500,"157500.0","2","1"
"Belgrade, Serbia","95900.0","89100.0",89100,"109500.0","3","1"
"Bellevue, NE","95553.4","95553.375",95553.375,"95553.375","1","0"
"Bengaluru, Karnataka, India","119918.4","45000.0",123508,"157500.0","52","13"
"Bentonville, AR","145607.1","70000.0",130000,"254000.0","25","8"
"Bentonville, VA","90000.0","90000.0",90000,"90000.0","1","0"
"Bergen, Norway","153500.0","153500.0",153500,"153500.0","1","0"
"Berkeley Heights, NJ","89150.0","89150.0",89150,"89150.0","1","0"
"Berkeley, CA","137134.2","103472.0",120039,"211255.0","6","1"
"Berlin, Germany","144047.9","56700.0",157500,"192000.0","19","10"
"Berlin, MD","90000.0","90000.0",90000,"90000.0","1","0"
"Bernards, NJ","150000.0","150000.0",150000,"150000.0","2","1"
"Bethesda, MD","118355.6","87500.0",115000,"173000.0","18","4"
"Beverly Hills, CA","155000.0","135000.0",150000,"180000.0","3","1"
"Biloxi, MS","133825.0","115000.0",133825,"152650.0","2","0"
"Biñan, Laguna, Philippines","69962.5","69962.5",69962.5,"69962.5","2","0"
"Bioggio, Switzerland","70000.0","70000.0",70000,"70000.0","1","0"
"Birmingham, AL","98628.3","81500.0",95750,"115000.0","6","0"
"Blacklick, OH","132500.0","130000.0",132500,"135000.0","2","0"
"Bladensburg, MD","123750.0","123750.0",123750,"123750.0","1","0"
"Blooming Grove, NY","102500.0","102500.0",102500,"102500.0","1","0"
"Bloomington, IL","94040.0","70000.0",94040,"118080.0","2","0"
"Bloomington, IN","97762.8","75000.0",98496,"119792.5","3","0"
"Boca Raton, FL","99054.3","60000.0",100000,"129326.0","6","1"
"Bodega Bay, CA","136780.7","123378.0",138500,"148464.0","3","0"
"Bogotá, Bogota, Colombia","106985.0","50400.0",94350,"170575.0","10","2"
"Boise, ID","158399.0","92500.0",184839.453125,"190000.0","5","0"
"Bon Air, VA","100000.0","100000.0",100000,"100000.0","1","0"
"Boston, MA","145810.8","57500.0",140062.5,"258000.0","75","20"
"Boulder, CO","139200.0","115000.0",120000,"201000.0","5","0"
"BOWLING GREEN, NY","87761.0","87761.0",87761,"87761.0","1","0"
"Braga, Portugal","103674.2","69962.5",109500,"131560.0","3","0"
"Bratislava, Slovakia","84000.0","72900.0",89100,"90000.0","3","1"
"Brazil","98986.4","63000.0",79200,"171121.0","8","3"
"Brentford, SD","90000.0","90000.0",90000,"90000.0","1","1"
"Brentford, UK","89100.0","89100.0",89100,"89100.0","1","1"
"Brentwood, CA","125000.0","125000.0",125000,"125000.0","1","0"
"Brentwood, MD","150000.0","150000.0",150000,"150000.0","1","0"
"Brest, France","89100.0","89100.0",89100,"89100.0","1","0"
"Bridgeton, MO","135144.5","135144.5",135144.5,"135144.5","1","1"
"Bridgewater, NJ","125000.0","125000.0",125000,"125000.0","1","0"
"Brisbane QLD, Australia","137500.0","137500.0",137500,"137500.0","1","0"
"Brisbane, CA","190771.8","182543.5",190771.75,"199000.0","2","1"
"Bristol, TN","135144.5","135144.5",135144.5,"135144.5","1","1"
"British Columbia, Canada","82908.0","82908.0",82908,"82908.0","1","0"
"Brno, Czechia","157500.0","157500.0",157500,"157500.0","1","1"
"Bronx, NY","217500.0","217500.0",217500,"217500.0","1","0"
"Brookfield, WI","108415.5","108415.5",108415.5,"108415.5","1","0"
"Brookhaven, GA","115000.0","115000.0",115000,"115000.0","1","0"
"Brooklyn Park, MN","132586.8","55000.0",149536.75,"176273.5","4","1"
"Brooklyn, MI","150000.0","150000.0",150000,"150000.0","1","0"
"Brooklyn, NY","144666.7","142000.0",142000,"150000.0","3","1"
"Broomfield, CO","117666.7","87500.0",90500,"175000.0","3","0"
"Brussels, Belgium","104484.0","56700.0",89100,"157500.0","9","2"
"Bucharest, Romania","134250.0","121000.0",134250,"147500.0","2","0"
"Buckeye, AZ","98000.0","98000.0",98000,"98000.0","1","0"
"Buckhead, GA","183875.0","115000.0",183000,"254500.0","4","1"
"Budapest, Hungary","98718.8","56700.0",89100,"157500.0","12","1"
"Buenos Aires, Argentina","79930.4","50400.0",68410.75,"132500.0","4","0"
"Buffalo, NY","128540.0","82200.0",128500,"175000.0","5","1"
"Bulgaria","164000.0","157500.0",164000,"170500.0","2","1"
"Burbank, CA","164759.3","90000.0",158054.5,"225000.0","6","1"
"Burlingame, CA","191125.0","90000.0",198500,"277500.0","4","0"
"Burlington, NC","125000.0","125000.0",125000,"125000.0","1","1"
"Burlington, VT","78010.0","78010.0",78010,"78010.0","1","0"
"Burnsville, MN","120531.0","120531.0",120531,"120531.0","1","0"
"Burnsville, NC","167500.0","167500.0",167500,"167500.0","1","0"
"Cairo, Egypt","104387.5","79200.0",90670,"157500.0","5","3"
"Calabasas, CA","110000.0","110000.0",110000,"110000.0","5","0"
"Calgary, AB, Canada","93757.1","63000.0",90000,"125000.0","7","3"
"California","131526.2","83850.0",127551.75,"225000.0","14","2"
"California City, CA","255841.7","80025.0",237500,"450000.0","3","0"
"California, MD","157202.8","151782.0",157202.75,"162623.5","2","0"
"Cambridge, MA","133753.1","80000.0",125000,"200000.0","19","5"
"Cambridge, MA (+1 other)","107500.0","107500.0",107500,"107500.0","1","1"
"Cambridge, UK","134539.4","80850.0",126153.75,"205000.0","4","0"
"Camden, NJ","91236.5","82473.0",91236.5,"100000.0","2","1"
"Campinas, State of São Paulo, Brazil","79200.0","79200.0",79200,"79200.0","1","0"
"Canada","146336.5","54907.0",157500,"231000.0","19","6"
"Canada, KY","116707.8","108415.5",116707.75,"125000.0","2","1"
"Canoga Park, CA","98000.0","98000.0",98000,"98000.0","1","0"
"Cape Town, South Africa","69300.0","69300.0",69300,"69300.0","1","0"
"Cardiff, UK","88128.0","88128.0",88128,"88128.0","1","0"
"Carlsbad, CA","117064.4","50000.0",127212.5,"150000.0","8","1"
"Carmel, IN","51000.0","51000.0",51000,"51000.0","1","0"
"Carmichael, CA","151521.5","151521.5",151521.5,"151521.5","1","1"
"Carnegie, PA","122220.8","110941.5",122220.75,"133500.0","2","0"
"Carrollton, TX","90000.0","90000.0",90000,"90000.0","2","0"
"Carson City, NV","178000.0","170000.0",178000,"186000.0","2","1"
"Centennial, CO","182500.0","182500.0",182500,"182500.0","1","1"
"Centreville, VA","126316.7","112250.0",116700,"150000.0","3","1"
"Centurion, South Africa","109500.0","109500.0",109500,"109500.0","1","0"
"Chamblee, GA","128050.0","128050.0",128050,"128050.0","1","1"
"Champaign, IL","112500.0","100000.0",112500,"125000.0","2","1"
"Chandler, AZ","167500.0","125000.0",155500,"222000.0","3","2"
"Chantilly, VA","134656.3","70800.0",132150,"207500.0","33","7"
"Chapel Hill, NC","85666.7","52000.0",102500,"102500.0","3","0"
"Charleston, SC","109333.3","80500.0",102500,"145000.0","3","1"
"Charleston, WV","161500.0","161500.0",161500,"161500.0","1","0"
"Charlotte, NC","133540.1","70000.0",125000,"375000.0","63","18"
"Charlottesville, VA","115713.1","87705.0",120000,"150000.0","8","2"
"Chelmsford, MA","175000.0","175000.0",175000,"175000.0","1","0"
"Chennai, Tamil Nadu, India","111362.0","64800.0",87705,"157500.0","9","3"
"Cherry Hill, NJ","105160.0","85000.0",105160,"125320.0","2","0"
"Chesapeake, VA","90000.0","90000.0",90000,"90000.0","1","0"
"Chesterfield, MO","125000.0","125000.0",125000,"125000.0","1","1"
"Chevy Chase, MD","131750.0","90000.0",142500,"152000.0","4","4"
